renda;compras;idade;scrcrdt;sexo
5441.818465947116;4371.210233229735;41.0;392.0;0.0
6033.031579243703;5113.741634911311;41.0;392.0;0.0
6117.688314242846;5090.215046056781;41.0;392.0;0.0
5224.961569095262;4402.70645603038;;392.0;0.0
5445.80844159456;4338.889662188193;41.0;392.0;0.0
5805.420659611709;4718.372917919568;41.0;392.0;0.0
6133.122754569624;4926.712097759133;41.0;392.0;0.0
5536.6177479824255;4668.629838658371;41.0;392.0;
5363.822909957822;4566.722735855826;41.0;392.0;0.0
6466.745833002081;5662.061169896789;;392.0;0.0
5996.594499158267;4876.899016559297;41.0;392.0;0.0
5994.093524837785;;41.0;392.0;0.0
5715.230886581166;4680.8193289952715;41.0;392.0;0.0
;4748.244533554063;;392.0;0.0
5520.758276930071;4545.57466184921;41.0;392.0;0.0
;4031.3240170785575;;392.0;0.0
5910.499948820015;4789.593732007392;41.0;392.0;
5472.7453189318;4595.499299350687;41.0;392.0;0.0
5281.234024214661;;41.0;392.0;0.0
5529.913267029292;4518.102478529675;41.0;392.0;0.0
5554.283157578782;4590.6432643917315;41.0;;
5981.860870788152;4862.076509058637;41.0;392.0;0.0
5609.773487448791;4496.663564780978;41.0;392.0;0.0
6541.62902956741;5536.737264524348;41.0;392.0;0.0
6014.264038684486;5160.697797124807;41.0;392.0;0.0
6066.377849835509;4951.680125982589;41.0;392.0;0.0
5556.287592872355;4544.960580511005;41.0;;0.0
5555.15118503222;4596.5576672590205;41.0;392.0;0.0
5562.676218828311;4555.853272712295;41.0;392.0;0.0
5735.150294116987;4844.912216208604;41.0;392.0;0.0
5946.793603725403;4848.301174251513;;392.0;0.0
5533.542126374135;4738.52953030912;41.0;392.0;0.0
5859.422036053438;4951.511010573057;41.0;392.0;0.0
5690.960849185235;4668.063623223928;;392.0;0.0
;4606.26085185718;41.0;392.0;0.0
5961.557830545132;4817.12520397886;41.0;;0.0
5744.356961070041;4796.7134702164185;41.0;392.0;
5546.840616036781;4366.379144956168;;392.0;0.0
5146.127959249976;;41.0;392.0;0.0
6132.959197643298;5092.682695422005;41.0;392.0;0.0
5560.180371317833;4547.404516616299;41.0;392.0;0.0
5705.836108289622;4864.310140448477;41.0;;0.0
5711.837980380234;4729.075036209593;41.0;;0.0
5853.379148275043;4753.515414467268;41.0;392.0;0.0
5519.108676530432;;41.0;392.0;0.0
6429.559232357586;5118.1577147923845;41.0;392.0;0.0
;;41.0;392.0;0.0
5908.103797021952;5084.270761266696;41.0;392.0;0.0
5650.991179602506;4718.460049443479;41.0;392.0;0.0
6255.757910393541;5193.142412593654;41.0;392.0;0.0
5662.756003078376;4659.766781359193;41.0;392.0;0.0
5905.6771405390255;4804.259569982644;41.0;392.0;0.0
5145.623976117206;4186.987350301906;41.0;392.0;0.0
6012.215691520183;5096.564053056406;41.0;392.0;0.0
5272.886230364193;4529.936524855655;41.0;392.0;0.0
5167.397761100175;4267.363200367909;41.0;392.0;0.0
5811.782954787975;;41.0;392.0;0.0
6291.632016966629;5307.878677771611;41.0;392.0;0.0
;4763.640107978407;;392.0;0.0
5655.109784474982;4686.979701759011;41.0;392.0;0.0
5821.038569861112;5010.699813534523;41.0;392.0;0.0
5529.795827381414;4557.270041063733;41.0;392.0;0.0
5071.495872975089;4100.533940068338;41.0;;0.0
;4881.203393658126;;392.0;0.0
5856.806096817991;;41.0;392.0;0.0
5758.840065758724;4751.6506836326225;41.0;392.0;0.0
5513.314459647906;4624.258943085795;41.0;392.0;0.0
5951.80714967572;4756.221789756056;41.0;392.0;0.0
5928.647515682917;4797.208866005452;;392.0;0.0
5704.33749086496;4537.989414918403;41.0;392.0;0.0
5633.277898140716;4682.015738916599;41.0;392.0;0.0
5364.192111082105;4414.609907787524;41.0;;0.0
;4943.200767475217;;392.0;0.0
