;renda;compras;idade;scrcrdt;sexo
0;5441.818465947116;4371.210233229735;41.0;392.0;0.0
1;6033.031579243703;5113.741634911311;41.0;392.0;0.0
2;6117.688314242846;5090.215046056781;41.0;392.0;0.0
3;5224.961569095262;4402.70645603038;47.0;392.0;0.0
4;5445.80844159456;4338.889662188193;41.0;392.0;0.0
5;5805.420659611709;4718.372917919568;41.0;392.0;0.0
6;6133.122754569624;4926.712097759133;41.0;392.0;0.0
7;5536.6177479824255;4668.629838658371;41.0;392.0;0.0
8;5363.822909957822;4566.722735855826;41.0;392.0;0.0
9;6466.745833002081;5441.561;47.0;392.0;0.0
10;5996.594499158267;4876.899016559297;41.0;392.0;0.0
11;5994.093524837785;4281.960658418313;41.0;392.0;0.0
12;5715.230886581166;4680.819328995272;41.0;392.0;0.0
13;5020.0499647422885;4748.244533554063;47.0;392.0;0.0
14;5520.758276930071;4545.57466184921;41.0;392.0;0.0
15;5020.0499647422885;4031.3240170785575;47.0;392.0;0.0
16;5910.499948820015;4789.593732007392;41.0;392.0;0.0
17;5472.7453189318;4595.499299350687;41.0;392.0;0.0
18;5281.234024214661;4281.960658418313;41.0;392.0;0.0
19;5529.913267029292;4518.102478529675;41.0;392.0;0.0
20;5554.283157578782;4590.643264391732;41.0;614.0;0.0
21;5981.860870788152;4862.076509058637;41.0;392.0;0.0
22;5609.773487448791;4496.663564780978;41.0;392.0;0.0
23;6541.62902956741;5441.561;41.0;392.0;0.0
24;6014.264038684486;5160.697797124807;41.0;392.0;0.0
25;6066.377849835509;4951.680125982589;41.0;392.0;0.0
26;5556.287592872355;4544.960580511005;41.0;614.0;0.0
27;5555.15118503222;4596.5576672590205;41.0;392.0;0.0
28;5562.676218828311;4555.853272712295;41.0;392.0;0.0
29;5735.150294116987;4844.912216208604;41.0;392.0;0.0
30;5946.793603725403;4848.301174251513;47.0;392.0;0.0
31;5533.542126374135;4738.52953030912;41.0;392.0;0.0
32;5859.422036053438;4951.511010573057;41.0;392.0;0.0
33;5690.960849185235;4668.063623223928;47.0;392.0;0.0
34;5020.0499647422885;4606.26085185718;41.0;392.0;0.0
35;5961.557830545132;4817.12520397886;41.0;614.0;0.0
36;5744.356961070041;4796.7134702164185;41.0;392.0;0.0
37;5546.840616036781;4366.379144956168;47.0;392.0;0.0
38;5146.127959249976;4281.960658418313;41.0;392.0;0.0
39;6132.959197643298;5092.682695422005;41.0;392.0;0.0
40;5560.180371317833;4547.404516616299;41.0;392.0;0.0
41;5705.836108289622;4864.310140448477;41.0;614.0;0.0
42;5711.837980380234;4729.075036209593;41.0;614.0;0.0
43;5853.379148275043;4753.515414467268;41.0;392.0;0.0
44;5519.108676530432;4281.960658418313;41.0;392.0;0.0
45;6429.559232357586;5118.1577147923845;41.0;392.0;0.0
46;5020.0499647422885;4281.960658418313;41.0;392.0;0.0
47;5908.103797021952;5084.270761266696;41.0;392.0;0.0
48;5650.991179602506;4718.460049443479;41.0;392.0;0.0
49;6255.757910393541;5193.142412593654;41.0;392.0;0.0
50;5662.756003078376;4659.766781359193;41.0;392.0;0.0
51;5905.6771405390255;4804.259569982644;41.0;392.0;0.0
52;5145.623976117206;4186.987350301906;41.0;392.0;0.0
53;6012.215691520183;5096.564053056406;41.0;392.0;0.0
54;5272.886230364193;4529.936524855655;41.0;392.0;0.0
55;5167.397761100175;4267.363200367909;41.0;392.0;0.0
56;5811.782954787975;4281.960658418313;41.0;392.0;0.0
57;6291.632016966629;5307.878677771611;41.0;392.0;0.0
58;5020.0499647422885;4763.640107978407;47.0;392.0;0.0
59;5655.109784474982;4686.979701759011;41.0;392.0;0.0
60;5821.038569861112;5010.699813534523;41.0;392.0;0.0
61;5529.795827381414;4557.270041063733;41.0;392.0;0.0
62;5071.495872975089;4100.533940068338;41.0;614.0;0.0
63;5020.0499647422885;4881.203393658126;47.0;392.0;0.0
64;5856.806096817991;4281.960658418313;41.0;392.0;0.0
65;5758.840065758724;4751.650683632623;41.0;392.0;0.0
66;5513.314459647906;4624.258943085795;41.0;392.0;0.0
67;5951.80714967572;4756.221789756056;41.0;392.0;0.0
68;5928.647515682917;4797.208866005452;47.0;392.0;0.0
69;5704.33749086496;4537.989414918403;41.0;392.0;0.0
70;5633.277898140716;4682.015738916599;41.0;392.0;0.0
71;5364.192111082105;4414.609907787524;41.0;614.0;0.0
72;5020.0499647422885;4943.200767475217;47.0;392.0;0.0
73;5787.996077518066;4592.731668090552;41.0;392.0;0.0
74;5790.905545332027;4715.2620258584575;41.0;392.0;0.0
75;6006.722671251663;5208.441582757058;41.0;392.0;0.0
76;5955.057436222199;4741.026561403612;41.0;392.0;0.0
77;5773.6770369839705;4643.190972797419;41.0;392.0;0.0
78;5351.935385183766;4297.310636339385;41.0;392.0;0.0
79;5741.660881556057;4281.960658418313;41.0;614.0;0.0
80;6279.110824180371;5250.342638258584;41.0;392.0;0.0
81;5120.251869081132;4196.258857955603;41.0;392.0;0.0
82;5020.0499647422885;4656.3323061345845;41.0;392.0;0.0
83;5947.00748185799;4953.851562091913;47.0;392.0;0.0
84;6054.06127737823;4765.737470834555;47.0;392.0;0.0
85;5020.0499647422885;4577.951606706928;47.0;392.0;0.0
86;5448.876794420491;4495.632890826087;41.0;392.0;0.0
87;5777.587036445627;4281.960658418313;41.0;392.0;0.0
88;5737.000953675815;4781.880814065802;41.0;614.0;0.0
89;5567.18351351722;4676.463375863519;41.0;392.0;0.0
90;5020.0499647422885;4832.588275535646;41.0;392.0;0.0
91;5836.890165510468;4823.43397168038;41.0;392.0;0.0
92;6008.914133919743;5068.636147069637;41.0;392.0;0.0
93;5628.710113148855;4716.117643935355;41.0;392.0;0.0
94;5440.311696888666;4606.801450371941;41.0;392.0;0.0
95;5810.379031625782;4636.048398856138;41.0;392.0;0.0
96;5448.505405505704;4446.167704646066;47.0;392.0;0.0
97;6031.0128464662375;4281.960658418313;41.0;392.0;0.0
98;5989.844508366448;4836.301400364005;41.0;392.0;0.0
99;5192.328306641824;4247.918947966138;41.0;392.0;0.0
100;5897.872094430087;4769.253934825573;41.0;392.0;0.0
101;5782.373063357992;4671.282486367823;41.0;392.0;0.0
102;5954.190577820478;4881.572897279437;41.0;614.0;0.0
103;5020.0499647422885;5006.016186559772;47.0;614.0;0.0
104;5561.46541026757;4748.651697435181;47.0;392.0;0.0
105;5377.664864034927;4528.288308998183;41.0;392.0;0.0
106;5646.703579810191;4672.935362325489;41.0;392.0;0.0
107;5816.865617487257;4802.840858811513;41.0;392.0;0.0
108;5351.786744586874;4324.809963596112;41.0;392.0;0.0
109;6063.290465492386;4987.030310812626;47.0;392.0;0.0
110;5020.0499647422885;4663.594315987153;41.0;392.0;0.0
111;5314.399407901537;4370.244466573153;41.0;614.0;0.0
112;5942.388687750742;4886.948444896037;41.0;392.0;0.0
113;5020.0499647422885;4866.1629450624905;41.0;392.0;0.0
114;5558.354078454923;4454.380793796489;41.0;392.0;0.0
115;5939.998678004581;4988.805704491895;41.0;392.0;0.0
116;6043.605436755211;5095.786430947906;41.0;392.0;0.0
117;6287.572432459031;5290.84751920425;41.0;392.0;0.0
118;5303.60041786638;4212.0528051322535;41.0;392.0;0.0
119;5837.714131718036;4672.678349002853;41.0;392.0;0.0
120;5984.965796621467;4965.778171073359;41.0;392.0;0.0
121;6202.349189553755;5189.053927164639;47.0;392.0;0.0
122;5716.957278312196;4790.925030448603;41.0;392.0;0.0
123;6031.222680631154;4281.960658418313;47.0;614.0;0.0
124;5659.568308712975;4620.456184201546;41.0;392.0;0.0
125;5587.640571556229;4641.719314708364;41.0;392.0;0.0
126;5674.848853253217;4836.4381614113;41.0;614.0;0.0
127;5688.948954658807;4657.055397180123;41.0;392.0;0.0
128;5647.759893504249;4650.525765963631;41.0;392.0;0.0
129;5992.520994187802;4281.960658418313;41.0;392.0;0.0
130;5805.7427782018285;4281.960658418313;41.0;392.0;0.0
131;5020.0499647422885;4597.135803657995;41.0;392.0;0.0
132;5620.102805603061;4435.970022993822;41.0;392.0;0.0
133;5792.939378462243;4588.423933552915;41.0;392.0;0.0
134;5564.387661117743;4281.960658418313;41.0;392.0;0.0
135;6178.707758581374;5150.48015088012;41.0;392.0;0.0
136;5851.426865527488;4875.334531687428;47.0;392.0;0.0
137;6192.006164204285;5161.502847530023;41.0;392.0;0.0
138;5533.030969120889;4465.507596276922;41.0;392.0;0.0
139;5020.0499647422885;4767.697582378341;41.0;392.0;0.0
140;5546.571963160098;4533.654160224512;41.0;392.0;0.0
141;5851.136670084172;4860.651261592596;41.0;392.0;0.0
142;5330.553854704932;4281.960658418313;41.0;392.0;0.0
143;5451.177122711924;4620.526446150977;41.0;392.0;0.0
144;5020.0499647422885;4688.278798178583;41.0;614.0;0.0
145;5291.701638874383;4301.795013302513;41.0;392.0;0.0
146;5415.425412706942;4319.99631115321;41.0;392.0;0.0
147;5562.647090240879;4496.293765740263;41.0;392.0;0.0
148;5706.329704101428;4559.8257110754885;41.0;614.0;0.0
149;6061.158062688813;4863.358485451224;41.0;392.0;0.0
150;6305.740375012991;5394.74563121638;41.0;392.0;0.0
151;5747.3551996362585;4715.19746023567;41.0;392.0;0.0
152;5829.309593658667;4870.0896518987565;41.0;392.0;0.0
153;5984.873804214778;4928.689254104032;41.0;614.0;0.0
154;5570.926962515896;4537.617347189694;41.0;392.0;0.0
155;5467.5498208106965;4375.217212440423;41.0;392.0;0.0
156;5020.0499647422885;4602.254428421958;41.0;392.0;0.0
157;5467.419180401862;4352.371882897299;41.0;392.0;0.0
158;5980.59760364656;4953.399248623658;41.0;392.0;0.0
159;5020.0499647422885;4798.854861139022;41.0;392.0;0.0
160;5020.0499647422885;5128.088513702924;41.0;392.0;0.0
161;6251.050771098596;5073.72480575773;41.0;392.0;0.0
162;5591.004221291708;4583.036798844852;41.0;392.0;0.0
163;5521.308297224376;4546.269954640928;41.0;392.0;0.0
164;5469.387329065005;4522.452714171056;41.0;392.0;0.0
165;5458.278574388402;4518.471323871066;41.0;392.0;0.0
166;6028.771039562667;4965.094452870023;41.0;392.0;0.0
167;5456.047977075138;4611.363320014555;41.0;392.0;0.0
168;5922.825180093272;4729.843854732148;41.0;392.0;0.0
169;5345.996064530417;4416.998447212958;41.0;392.0;0.0
170;5892.8289528613095;4983.276889756484;41.0;392.0;0.0
171;6014.942214808181;5007.544913922285;41.0;392.0;0.0
172;5364.863083911237;4399.163970012236;41.0;614.0;0.0
173;5517.848844427614;4367.689749539004;41.0;392.0;0.0
174;6046.308511969708;4916.338833831233;41.0;392.0;0.0
175;5773.387556065225;4770.149376258214;41.0;392.0;0.0
176;5682.157302800299;4627.980010991721;41.0;392.0;0.0
177;6165.3219180037095;5170.394571815206;41.0;392.0;0.0
178;5724.033197616644;4611.508353491626;41.0;614.0;0.0
179;5020.0499647422885;4332.527680255863;47.0;392.0;0.0
180;6561.751203435218;5441.561;41.0;614.0;0.0
181;5676.6543899257085;4670.690522708966;41.0;392.0;0.0
182;5444.177613151293;4488.300609896836;47.0;392.0;0.0
183;5538.517024898387;4555.908872387581;41.0;392.0;0.0
184;5020.0499647422885;4607.171759522001;41.0;392.0;0.0
185;6015.597998463599;5044.412497137512;41.0;392.0;0.0
186;5917.026841299839;4834.3733156085655;41.0;392.0;0.0
187;5020.0499647422885;4563.938360443824;41.0;392.0;0.0
188;5685.112155175641;4485.91964717408;41.0;392.0;0.0
189;5850.814350364261;4704.800971876389;41.0;392.0;0.0
190;5020.0499647422885;4670.002203430644;41.0;392.0;0.0
191;5642.472432671465;4496.362889310861;41.0;392.0;0.0
192;5613.494952773254;4754.091046266736;41.0;392.0;0.0
193;5337.8445745442;4184.512689082112;41.0;392.0;0.0
